year,month,day,hour,temp,feelslike,precip,windgust,windspeed,winddir,cloudcover,solarradiation,solarenergy
2020,1,2,10,-3.5,-3.8,0.26,3.4,2.7,206.3,62.8,7.3,4.7
2020,1,2,11,1.9,3.3,0.1,14.8,10.4,348.9,37.9,142.6,62.2
2020,1,2,12,6.8,7.4,0.19,13.0,4.4,183.5,90.7,40.6,29.9
2020,1,2,13,-3.7,-2.1,0.22,18.1,15.0,217.2,22.6,127.7,22.0
2020,1,2,14,-3.4,-2.1,0.14,14.2,13.2,312.3,37.6,137.2,79.4
2020,1,2,15,5.1,5.6,0.16,12.1,5.1,252.3,60.3,125.8,77.2
2020,1,2,16,4.2,5.3,0.07,2.5,1.8,122.7,88.7,19.9,14.5
2020,1,2,17,-11.5,-11.8,0.28,6.0,0.4,262.5,68.7,36.3,18.4
2020,1,2,18,2.3,0.7,0.17,12.9,5.3,249.9,84.9,31.2,27.8
2020,1,2,19,6.1,7.7,0.22,19.7,9.8,312.3,27.5,61.8,19.5
2020,1,2,20,-0.5,-0.6,0.21,4.7,4.1,56.2,78.3,144.9,37.1
2020,1,2,21,-1.6,0.1,0.07,7.3,3.9,264.2,81.5,93.5,45.3
2020,1,2,22,5.8,7.0,0.24,20.7,12.8,18.0,37.1,138.9,82.4
2020,1,2,23,-2.4,-2.4,0.1,17.2,12.3,129.1,1.0,19.5,11.5
2020,1,3,0,-8.1,-9.8,0.08,16.5,6.7,291.6,92.8,145.4,119.7
2020,1,3,1,-0.8,-1.9,0.15,7.7,4.5,306.9,80.1,25.4,21.8
2020,1,3,2,-6.0,-7.9,0.17,5.7,2.9,229.6,40.1,119.2,103.6
2020,1,3,3,0.6,-0.9,0.24,16.8,8.2,168.6,66.7,119.9,82.4
2020,1,3,4,-7.2,-6.2,0.14,2.3,1.2,267.6,10.0,71.4,54.9
2020,1,3,5,0.9,0.9,0.01,16.7,7.8,45.7,13.1,80.6,46.0
2020,1,3,6,1.6,0.6,0.11,4.8,1.5,213.5,11.7,132.2,40.7
2020,1,3,7,-5.3,-3.3,0.27,12.0,4.1,310.0,15.5,136.9,110.1
2020,1,3,8,-14.0,-12.3,0.08,2.2,1.8,303.4,26.5,23.1,6.3
2020,1,3,9,11.6,13.1,0.28,13.8,11.9,227.6,34.7,55.8,21.8
2020,1,3,10,3.8,3.5,0.18,8.0,2.0,227.5,99.0,71.0,37.2
2020,1,3,11,-1.7,-1.4,0.04,19.2,13.9,65.4,72.1,131.0,21.2
2020,1,3,12,0.3,-0.3,0.11,20.7,11.6,204.4,86.8,65.0,41.7
2020,1,3,13,-3.8,-4.8,0.06,8.2,7.1,353.2,62.6,132.3,115.1
2020,1,3,14,2.2,2.2,0.22,12.9,5.7,299.7,93.8,103.3,81.4
2020,1,3,15,2.3,3.5,0.14,16.4,9.8,312.5,62.4,144.8,41.8
2020,1,3,16,-7.7,-5.8,0.22,8.4,2.5,26.0,70.7,46.6,29.0
2020,1,3,17,1.3,1.7,0.11,9.6,0.5,181.6,38.3,112.3,49.0
2020,1,3,18,-1.2,-1.4,0.26,21.9,12.4,339.6,43.2,20.2,13.8
2020,1,3,19,6.6,7.2,0.07,15.4,8.4,19.1,45.5,99.0,53.3
2020,1,3,20,2.0,1.7,0.11,7.8,6.1,159.3,59.9,76.7,18.0
2020,1,3,21,3.3,3.8,0.03,20.8,14.1,224.5,35.6,126.3,37.7
2020,1,3,22,-2.0,-1.0,0.11,9.9,9.3,343.2,30.2,0.6,0.3
2020,1,3,23,0.4,0.0,0.12,11.7,3.6,224.5,8.7,55.3,16.1
2020,1,4,0,0.5,0.8,0.24,18.5,13.4,241.0,35.9,73.9,9.2
2020,1,4,1,4.2,2.8,0.02,9.1,8.4,352.4,74.0,131.4,51.3
2020,1,4,2,-2.1,-4.1,0.06,17.6,13.9,147.2,64.7,110.1,19.8
2020,1,4,3,3.9,2.2,0.23,14.9,13.4,276.0,26.5,115.1,91.6
2020,1,4,4,-0.4,-1.1,0.1,20.6,13.2,256.1,5.9,14.9,12.7
2020,1,4,5,-1.9,-0.9,0.1,3.9,3.0,9.1,7.5,100.8,74.3
2020,1,4,6,5.0,6.0,0.07,15.4,12.4,353.4,59.3,108.8,77.8
2020,1,4,7,-2.0,-1.4,0.06,18.8,14.9,299.5,48.1,94.0,59.4
2020,1,4,8,-4.1,-3.5,0.13,10.9,4.5,260.7,79.2,42.7,35.6
2020,1,4,9,0.4,-0.4,0.11,8.8,4.1,117.0,62.1,30.9,30.8
2020,1,4,10,-6.8,-5.3,0.13,20.4,14.7,310.3,49.2,6.3,5.3
2020,1,4,11,4.3,4.1,0.3,10.6,3.9,83.6,55.3,75.6,63.7
2020,1,4,12,4.8,4.7,0.14,11.7,2.6,144.8,5.6,142.5,105.7
2020,1,4,13,-2.3,-1.1,0.06,11.3,7.5,302.8,12.3,54.8,33.8
2020,1,4,14,4.0,5.1,0.29,16.8,14.6,170.0,84.0,20.4,15.6
2020,1,4,15,2.5,2.2,0.12,12.2,10.9,259.7,12.2,103.0,36.8
2020,1,4,16,3.6,3.0,0.06,8.2,4.0,121.7,12.3,63.3,28.1
2020,1,4,17,-2.6,-3.4,0.25,17.5,10.7,176.7,94.6,49.6,22.2
2020,1,4,18,-6.4,-6.9,0.12,21.1,11.8,195.0,44.0,15.1,8.4
2020,1,4,19,-2.9,-3.9,0.26,21.4,14.9,185.6,36.6,41.5,11.8
2020,1,4,20,1.7,3.0,0.22,15.4,13.5,219.0,67.1,125.8,102.4
2020,1,4,21,-4.9,-4.4,0.27,17.9,8.5,199.0,1.3,103.7,16.6
2020,1,4,22,-8.4,-8.4,0.05,11.2,10.4,221.2,66.7,34.0,20.7
2020,1,4,23,0.5,2.4,0.08,10.4,4.3,290.5,1.6,134.8,104.7
2020,1,5,0,-2.2,-2.2,0.19,11.0,3.9,284.5,77.7,41.5,28.4
2020,1,5,1,2.3,3.7,0.02,14.3,13.8,2.6,36.1,38.2,32.7
2020,1,5,2,0.6,-0.2,0.01,13.0,3.4,288.1,75.8,105.1,50.0
2020,1,5,3,-0.1,0.3,0.13,19.2,12.8,70.3,85.1,40.8,11.6
2020,1,5,4,6.4,5.3,0.05,17.2,12.7,291.5,67.8,101.2,39.0
2020,1,5,5,7.3,5.8,0.03,6.6,0.5,25.6,41.7,35.1,33.1
2020,1,5,6,1.7,-0.3,0.15,6.8,2.4,73.9,20.7,145.1,115.2
2020,1,5,7,2.2,3.4,0.24,8.1,6.4,205.9,50.5,100.6,62.3
2020,1,5,8,-3.6,-1.8,0.1,14.8,11.3,137.8,98.1,93.7,73.3
2020,1,5,9,-9.6,-10.5,0.29,21.4,13.2,121.0,16.9,140.4,86.0
2020,1,5,10,3.7,2.7,0.26,11.0,5.6,252.9,15.5,145.1,131.7
2020,1,5,11,1.1,-0.8,0.17,11.5,1.6,43.9,11.8,27.6,14.1
2020,1,5,12,-9.7,-8.5,0.23,9.3,8.6,61.8,70.4,93.7,15.7
2020,1,5,13,6.6,7.0,0.08,19.2,11.5,296.5,79.1,103.0,22.6
2020,1,5,14,8.4,9.0,0.04,4.3,2.5,236.7,84.5,77.1,34.3
2020,1,5,15,0.3,1.2,0.25,20.9,14.2,140.2,19.0,101.9,93.5
2020,1,5,16,1.0,1.0,0.22,14.0,9.1,167.7,82.9,125.3,64.2
2020,1,5,17,-4.4,-5.0,0.29,5.9,5.9,353.3,62.1,68.7,60.3
2020,1,5,18,4.4,3.3,0.17,12.4,7.1,254.7,55.8,2.8,1.4
2020,1,5,19,4.2,5.0,0.13,15.4,8.3,344.7,68.0,20.7,19.2
2020,1,5,20,4.2,2.8,0.16,8.1,2.5,112.3,99.0,147.1,125.2
2020,1,5,21,-4.1,-6.0,0.26,16.9,9.1,290.1,31.6,129.4,38.9
2020,1,5,22,4.7,4.2,0.04,17.3,14.3,237.0,78.3,22.5,7.3
2020,1,5,23,-8.7,-7.2,0.27,21.8,14.0,265.9,80.9,122.3,122.0
2020,1,6,0,-1.4,-2.6,0.01,20.5,10.6,311.9,73.3,16.0,7.3
2020,1,6,1,5.5,5.8,0.16,21.4,13.0,19.9,46.5,146.1,99.0
2020,1,6,2,-0.2,-0.0,0.28,10.3,0.4,325.5,78.7,22.4,9.6
2020,1,6,3,-4.1,-3.9,0.18,4.0,2.0,17.3,40.6,132.2,22.9
2020,1,6,4,2.0,1.9,0.28,13.4,11.7,317.7,81.8,91.9,22.2
2020,1,6,5,0.5,2.2,0.11,3.5,0.8,117.1,10.0,40.5,35.0
2020,1,6,6,-6.7,-8.6,0.3,11.0,3.9,324.4,61.0,30.7,25.3
2020,1,6,7,-4.1,-2.6,0.17,15.7,14.6,217.0,27.2,52.4,22.6
2020,1,6,8,-10.0,-10.8,0.3,15.9,10.1,235.6,84.3,104.4,28.7
2020,1,6,9,-2.6,-1.8,0.18,11.7,4.7,114.1,66.0,14.2,11.2
2020,1,6,10,3.6,2.0,0.2,10.5,8.3,287.4,2.4,48.7,42.5
2020,1,6,11,-2.4,-2.4,0.19,10.0,2.9,227.1,2.7,126.9,118.5
2020,1,6,12,-3.0,-1.1,0.13,7.7,1.1,171.8,8.5,86.2,70.1
2020,1,6,13,15.0,15.9,0.18,20.4,11.1,185.0,14.5,50.0,14.7
2020,1,6,14,4.6,5.9,0.29,16.0,7.2,337.5,5.8,97.9,80.8
2020,1,6,15,-3.9,-2.5,0.18,15.1,12.3,26.7,68.2,37.9,23.4
2020,1,6,16,5.4,4.1,0.29,11.4,5.4,359.7,27.9,52.6,25.5
2020,1,6,17,-7.5,-7.2,0.0,18.5,10.9,266.6,89.3,20.3,13.3
2020,1,6,18,0.9,0.0,0.01,10.6,1.3,26.5,30.7,49.3,28.0
2020,1,6,19,-0.1,-0.1,0.28,9.4,4.8,205.6,69.0,90.2,15.4
2020,1,6,20,-11.8,-12.4,0.23,15.1,13.8,231.2,85.6,122.7,120.3
2020,1,6,21,-5.7,-7.1,0.15,7.0,2.2,77.9,89.6,72.4,58.3
2020,1,6,22,-1.4,-2.8,0.3,8.3,0.2,273.5,26.8,85.3,78.8
2020,1,6,23,-2.2,-1.2,0.17,18.3,11.7,117.9,4.9,135.0,67.6
2020,1,7,0,6.7,7.6,0.24,17.7,14.6,293.0,13.0,133.1,125.3
2020,1,7,1,4.5,5.3,0.28,8.9,6.6,34.4,67.5,145.3,101.8
2020,1,7,2,0.6,-0.4,0.11,16.4,11.8,340.0,17.1,110.0,78.8
2020,1,7,3,0.5,1.3,0.29,12.6,6.4,58.3,44.9,81.2,38.3
2020,1,7,4,-0.3,0.6,0.11,9.6,3.2,197.1,30.2,145.6,88.6
2020,1,7,5,7.2,5.5,0.01,16.1,11.2,349.5,20.8,135.9,82.6
2020,1,7,6,-5.8,-6.5,0.06,19.4,13.0,147.6,56.2,135.8,95.3
2020,1,7,7,6.0,7.6,0.05,6.5,1.7,41.9,67.2,37.9,4.7
2020,1,7,8,-3.3,-4.0,0.25,10.1,3.7,118.8,24.7,130.0,106.0
2020,1,7,9,-0.3,1.1,0.05,5.4,0.9,168.0,72.1,86.7,32.9
2020,1,7,10,-3.5,-2.3,0.21,7.6,5.2,78.1,13.5,147.3,34.8
2020,1,7,11,-7.4,-7.3,0.22,18.2,11.0,341.7,88.2,74.0,29.4
2020,1,7,12,0.1,-0.8,0.2,22.8,13.0,31.6,1.1,131.9,67.2
2020,1,7,13,-6.8,-7.6,0.17,11.2,6.3,55.2,16.7,105.2,29.4
2020,1,7,14,-1.5,0.3,0.24,10.6,10.5,82.6,34.3,6.4,2.2
2020,1,7,15,6.9,4.9,0.21,7.8,7.3,303.2,93.9,23.6,9.9
2020,1,7,16,-5.5,-5.3,0.26,18.2,8.3,117.6,90.9,8.8,8.6
2020,1,7,17,3.8,3.5,0.11,10.0,2.3,36.0,53.3,64.5,17.5
2020,1,7,18,-6.0,-6.0,0.0,15.0,6.6,68.6,56.7,27.6,15.9
2020,1,7,19,3.6,1.9,0.17,20.2,11.0,305.3,96.8,18.6,13.8
2020,1,7,20,-2.4,-3.6,0.08,12.4,7.3,23.6,24.0,50.6,24.9
2020,1,7,21,0.3,1.3,0.03,17.3,14.8,127.2,90.3,128.0,125.5
2020,1,7,22,2.6,3.8,0.13,15.8,9.3,145.6,69.5,52.2,33.8
2020,1,7,23,-5.9,-5.4,0.0,7.4,3.7,188.3,89.5,110.8,77.6
2020,1,8,0,3.8,3.2,0.08,16.0,7.6,27.3,59.6,115.6,12.1
2020,1,8,1,2.2,0.4,0.06,5.1,2.2,181.6,15.8,142.3,91.6
2020,1,8,2,-4.4,-4.6,0.14,14.1,8.0,178.5,98.6,14.6,11.2
2020,1,8,3,-9.6,-11.6,0.25,17.4,14.7,98.3,66.9,23.5,3.6
2020,1,8,4,2.1,2.2,0.05,18.4,9.5,110.2,91.4,96.7,43.0
2020,1,8,5,0.9,2.1,0.2,23.4,14.3,246.3,31.6,125.3,80.0
2020,1,8,6,-9.0,-7.9,0.17,16.8,10.1,24.2,28.5,28.8,10.1
2020,1,8,7,5.0,6.2,0.25,4.2,1.5,280.3,55.5,104.6,28.8
2020,1,8,8,1.8,-0.1,0.15,4.5,1.5,234.7,67.3,141.6,118.3
2020,1,8,9,-2.9,-4.1,0.07,1.4,0.1,201.9,97.1,25.2,14.2
2020,1,8,10,3.5,4.6,0.14,22.3,14.0,63.3,54.7,77.5,33.2
2020,1,8,11,0.8,0.4,0.25,3.4,3.0,202.1,4.5,89.8,60.8
2020,1,8,12,7.5,8.1,0.03,8.8,7.1,234.0,86.4,46.0,41.4
2020,1,8,13,0.1,0.6,0.12,9.4,0.4,141.5,28.6,123.6,45.8
2020,1,8,14,-7.1,-7.5,0.1,15.0,5.1,149.9,89.2,34.1,4.3
2020,1,8,15,-3.4,-4.1,0.19,13.1,6.4,53.8,78.7,63.8,22.2
2020,1,8,16,1.2,2.8,0.01,19.0,10.8,270.0,48.9,98.8,47.8
2020,1,8,17,1.2,2.0,0.08,18.0,10.7,192.4,98.8,115.2,30.8
2020,1,8,18,4.3,4.1,0.22,6.5,2.5,220.7,3.9,99.5,44.2
2020,1,8,19,-1.5,0.5,0.25,22.2,13.7,264.0,50.1,45.7,11.4
2020,1,8,20,-5.9,-4.7,0.08,10.8,4.5,177.4,17.8,121.8,87.1
2020,1,8,21,-5.5,-6.6,0.09,16.5,6.5,338.4,58.9,0.6,0.6
2020,1,8,22,-1.8,-0.7,0.26,22.0,12.1,263.2,2.6,115.9,57.1
2020,1,8,23,-2.0,-3.5,0.17,14.2,11.6,149.4,48.0,64.4,8.8
2020,1,9,0,-0.6,-2.3,0.19,5.8,3.9,299.2,14.1,35.6,33.3
2020,1,9,1,-4.9,-6.4,0.08,22.2,13.6,85.3,65.5,101.7,52.4
2020,1,9,2,1.3,1.4,0.15,11.7,4.3,288.5,67.2,13.8,13.8
2020,1,9,3,4.6,4.2,0.05,13.4,12.5,178.2,8.1,108.9,106.8
2020,1,9,4,0.0,-0.0,0.16,6.8,2.1,88.0,8.8,54.4,37.8
2020,1,9,5,-1.5,-0.6,0.01,7.8,2.3,351.0,86.2,129.3,74.1
2020,1,9,6,2.2,2.2,0.06,15.7,12.4,60.6,37.0,121.2,79.1
2020,1,9,7,6.7,6.4,0.2,11.3,4.1,65.1,18.6,17.8,6.4
2020,1,9,8,2.2,2.0,0.23,4.4,1.6,208.8,30.4,2.0,1.1
2020,1,9,9,-4.8,-3.6,0.06,20.7,11.2,43.5,84.3,100.2,48.6
2020,1,9,10,-7.1,-5.8,0.07,14.2,6.9,318.1,81.5,143.0,17.4
2020,1,9,11,-1.7,-1.3,0.26,14.3,7.9,212.4,54.5,95.4,39.1
2020,1,9,12,-0.7,-2.4,0.12,17.8,10.9,334.4,89.5,66.3,38.6
2020,1,9,13,-10.2,-9.6,0.27,16.9,9.8,143.9,73.8,13.4,4.5
2020,1,9,14,-8.6,-8.6,0.07,12.7,3.9,41.2,68.4,111.1,91.0
2020,1,9,15,1.3,0.5,0.07,9.3,1.9,289.9,46.9,77.3,28.5
2020,1,9,16,0.4,-0.0,0.14,11.1,2.0,233.2,14.0,23.1,16.9
2020,1,9,17,-1.8,-2.6,0.19,5.6,1.8,324.7,94.8,2.9,1.6
2020,1,9,18,-1.9,-2.9,0.07,10.2,8.6,178.7,74.1,75.4,51.5
2020,1,9,19,-12.3,-14.0,0.27,16.5,12.7,331.5,46.0,89.6,73.0
2020,1,9,20,8.1,7.7,0.06,10.0,1.0,8.7,17.5,39.4,20.0
2020,1,9,21,-2.6,-4.3,0.19,8.9,5.5,68.8,83.9,55.7,42.6
2020,1,9,22,1.5,2.2,0.12,5.7,0.8,293.9,16.3,21.3,16.4
2020,1,9,23,3.7,4.4,0.2,7.6,4.1,195.1,99.8,26.1,12.3
2020,1,10,0,6.5,5.4,0.11,11.0,3.2,294.3,14.2,13.4,2.2
2020,1,10,1,-2.4,-0.9,0.07,8.8,5.8,199.7,83.0,91.3,89.6
2020,1,10,2,-12.7,-13.7,0.17,19.2,13.9,277.4,16.6,17.8,6.9
2020,1,10,3,12.6,13.4,0.22,19.7,11.9,185.0,88.9,100.1,70.4
2020,1,10,4,-4.9,-5.5,0.28,15.5,13.7,267.6,12.2,10.8,8.6
2020,1,10,5,0.2,-1.6,0.11,9.4,6.1,8.2,60.1,68.2,16.8
2020,1,10,6,5.3,6.1,0.22,11.6,5.8,353.6,81.3,137.1,135.0
2020,1,10,7,4.3,5.9,0.26,8.8,3.2,171.5,43.1,21.9,17.0
2020,1,10,8,-1.5,-1.3,0.24,14.8,14.1,152.3,82.3,13.8,7.3
2020,1,10,9,-1.7,-0.5,0.17,14.7,6.6,265.1,57.3,117.6,38.8
2020,1,10,10,-3.1,-2.2,0.29,11.0,3.8,340.2,69.2,21.1,8.7
2020,1,10,11,3.6,4.9,0.29,5.1,0.9,233.3,45.4,71.7,45.4
2020,1,10,12,3.9,5.5,0.14,13.3,3.5,187.8,45.0,69.7,13.7
2020,1,10,13,-1.2,-1.6,0.03,6.2,2.4,106.4,55.8,96.2,75.9
2020,1,10,14,2.2,2.2,0.1,5.5,3.9,156.3,26.1,37.3,27.4
2020,1,10,15,7.4,7.6,0.17,8.9,0.1,18.3,96.7,62.3,60.6
2020,1,10,16,-5.1,-5.4,0.19,6.5,2.0,75.9,49.8,115.6,95.9
2020,1,10,17,0.4,0.3,0.22,12.7,5.0,266.7,0.3,14.9,14.2
2020,1,10,18,1.5,2.5,0.0,15.6,10.3,321.5,60.9,123.3,29.6
2020,1,10,19,1.8,1.7,0.09,10.0,2.3,156.3,17.3,11.8,6.6
2020,1,10,20,3.9,5.4,0.18,17.8,13.3,28.5,85.2,123.7,21.5
2020,1,10,21,-2.8,-2.6,0.23,10.4,2.7,296.9,49.2,1.4,0.7
2020,1,10,22,2.7,2.1,0.2,18.9,9.3,219.1,12.0,4.0,3.5
2020,1,10,23,0.1,-1.7,0.04,18.4,11.0,335.2,64.6,14.7,6.7
2020,1,11,0,0.2,1.1,0.01,11.1,10.3,354.2,18.0,108.6,54.2
2020,1,11,1,0.7,0.6,0.13,23.0,13.5,198.5,54.9,37.0,29.6
2020,1,11,2,4.1,4.7,0.08,4.9,3.7,151.5,96.8,130.5,65.0
2020,1,11,3,-7.1,-6.3,0.04,14.7,6.4,14.1,79.5,104.8,21.9
2020,1,11,4,-10.0,-10.5,0.2,11.5,2.6,2.7,8.9,79.4,50.3
2020,1,11,5,-1.5,-2.0,0.17,17.5,9.1,98.2,6.2,45.2,24.1
2020,1,11,6,-6.1,-6.9,0.08,15.7,11.1,132.8,52.6,143.3,22.2
2020,1,11,7,2.6,2.7,0.29,10.7,6.0,228.0,14.6,46.5,8.6
2020,1,11,8,-0.7,0.5,0.29,20.4,14.2,303.3,89.3,98.2,24.1
2020,1,11,9,8.2,9.7,0.21,11.7,9.2,261.2,34.0,141.4,41.4
2020,1,11,10,-1.7,-1.0,0.02,4.8,2.9,231.4,26.9,101.3,43.7
2020,1,11,11,-5.5,-4.6,0.05,15.1,14.1,109.0,41.6,112.6,60.4
2020,1,11,12,-5.6,-5.4,0.1,7.1,0.8,90.1,54.5,35.6,33.7
2020,1,11,13,8.0,9.2,0.28,13.3,6.0,268.2,36.4,6.3,2.1
2020,1,11,14,-1.8,-0.7,0.13,10.4,1.5,39.8,71.1,125.1,56.1
2020,1,11,15,0.6,1.7,0.21,9.4,3.7,197.9,86.1,12.4,12.2
2020,1,11,16,-2.1,-1.7,0.2,20.6,11.9,73.5,82.9,42.1,17.2
2020,1,11,17,1.6,2.7,0.21,16.7,10.1,83.7,46.3,56.1,38.7
2020,1,11,18,-9.1,-8.8,0.29,23.9,14.1,245.1,14.6,20.1,18.9
2020,1,11,19,9.2,7.4,0.1,22.2,14.6,11.3,58.4,61.0,50.9
2020,1,11,20,2.9,3.4,0.16,12.3,4.6,270.6,74.2,41.3,36.9
2020,1,11,21,-3.4,-2.2,0.26,20.9,14.3,253.7,41.0,99.1,67.6
2020,1,11,22,0.7,0.8,0.16,14.5,5.6,93.2,80.1,27.0,5.8
2020,1,11,23,-7.0,-6.6,0.15,8.9,3.9,25.2,18.6,100.3,65.5
2020,1,12,0,7.8,6.8,0.23,22.8,13.3,53.2,43.4,79.8,56.7
2020,1,12,1,3.9,2.0,0.19,19.0,11.9,240.7,57.3,113.5,105.1
2020,1,12,2,-7.0,-7.9,0.16,14.3,11.0,206.5,13.3,127.2,75.9
2020,1,12,3,1.2,2.1,0.29,2.7,0.5,44.2,90.1,103.5,13.6
2020,1,12,4,2.5,1.2,0.19,15.0,6.1,337.3,78.6,3.0,1.3
2020,1,12,5,-6.0,-6.7,0.12,9.9,3.8,266.5,44.0,113.9,51.3
2020,1,12,6,-10.2,-11.5,0.19,23.0,13.1,353.5,77.6,83.9,12.6
2020,1,12,7,10.5,11.9,0.08,11.8,8.8,306.7,49.7,5.8,4.8
2020,1,12,8,-1.8,-0.0,0.23,6.6,3.7,141.9,54.5,80.5,34.7
2020,1,12,9,-9.8,-10.4,0.29,8.0,2.1,113.5,85.8,149.3,140.2
2020,1,12,10,3.4,5.3,0.02,15.5,8.0,309.1,53.9,81.2,54.7
2020,1,12,11,2.0,0.2,0.3,16.6,12.3,4.8,14.0,116.5,12.6
2020,1,12,12,-0.8,-2.4,0.07,12.7,9.1,273.6,62.7,143.5,24.7
2020,1,12,13,6.0,7.6,0.02,7.6,7.4,345.7,65.4,140.7,98.5
2020,1,12,14,-0.3,-2.0,0.03,7.7,6.0,22.7,11.5,6.6,3.7
2020,1,12,15,6.8,7.0,0.18,3.0,1.6,252.2,37.1,31.9,5.4
2020,1,12,16,2.7,4.5,0.04,13.8,11.5,331.7,58.0,71.2,44.4
2020,1,12,17,-9.7,-9.1,0.15,9.3,2.2,60.1,22.9,79.6,16.7
2020,1,12,18,4.2,4.9,0.26,10.5,7.8,241.8,39.3,72.5,50.4
2020,1,12,19,8.7,7.7,0.29,12.4,7.0,11.9,13.0,27.8,20.2
2020,1,12,20,-3.3,-5.1,0.2,22.7,13.1,135.5,57.4,40.5,11.6
2020,1,12,21,2.6,1.0,0.15,3.9,1.6,76.7,62.4,86.7,82.3
2020,1,12,22,-4.3,-5.6,0.28,18.8,12.2,314.5,62.4,142.5,19.2
2020,1,12,23,6.5,4.7,0.25,16.3,7.9,325.5,47.3,116.6,88.7
2020,1,13,0,8.5,9.1,0.13,14.2,13.3,221.2,8.9,26.7,20.3
2020,1,13,1,-4.3,-2.7,0.26,4.0,2.0,173.3,91.6,14.8,8.7
2020,1,13,2,-1.9,-1.5,0.03,9.9,1.6,294.7,93.8,135.0,25.2
2020,1,13,3,-6.5,-5.2,0.1,6.7,2.7,126.4,24.0,65.4,64.5
2020,1,13,4,-1.3,0.3,0.23,14.8,14.3,105.4,62.5,18.2,13.0
2020,1,13,5,3.7,3.5,0.02,9.3,3.7,324.3,15.0,124.4,24.7
2020,1,13,6,-0.1,1.1,0.25,4.3,2.1,159.8,66.0,141.2,86.2
2020,1,13,7,-7.5,-7.4,0.08,9.9,4.9,297.8,76.4,123.5,38.1
2020,1,13,8,6.9,5.3,0.07,17.6,9.9,172.5,30.7,56.1,44.5
2020,1,13,9,4.8,5.6,0.09,4.4,3.6,353.2,76.5,135.5,134.2
2020,1,13,10,7.6,6.9,0.08,16.1,8.9,22.4,50.9,62.9,58.2
2020,1,13,11,3.6,2.7,0.04,7.8,0.2,251.9,79.4,60.6,18.8
2020,1,13,12,5.9,7.8,0.27,21.7,12.4,78.9,21.9,116.9,103.3
2020,1,13,13,-4.4,-4.2,0.14,6.4,6.0,233.1,8.5,141.8,55.8
