year,month,day,hour,solarenergy
2020,1,14,13,39.0
2020,1,14,14,8.5
2020,1,14,15,74.4
2020,1,14,16,29.1
2020,1,14,17,18.9
2020,1,14,18,22.1
2020,1,14,19,83.1
2020,1,14,20,50.6
2020,1,14,21,83.3
2020,1,14,22,73.0
2020,1,14,23,24.0
2020,1,15,0,22.6
2020,1,15,1,35.4
2020,1,15,2,30.6
2020,1,15,3,69.1
2020,1,15,4,26.9
2020,1,15,5,67.8
2020,1,15,6,89.9
2020,1,15,7,124.7
2020,1,15,8,40.7
2020,1,15,9,8.1
2020,1,15,10,117.2
2020,1,15,11,126.5
2020,1,15,12,57.4
2020,1,15,13,38.7
2020,1,15,14,10.7
2020,1,15,15,70.2
2020,1,15,16,23.3
2020,1,15,17,22.5
2020,1,15,18,55.0
2020,1,15,19,60.6
2020,1,15,20,18.9
2020,1,15,21,27.2
2020,1,15,22,3.0
2020,1,15,23,40.0
2020,1,16,0,36.3
2020,1,16,1,37.1
2020,1,16,2,25.1
2020,1,16,3,21.6
2020,1,16,4,54.9
2020,1,16,5,121.7
2020,1,16,6,11.9
2020,1,16,7,3.4
2020,1,16,8,16.8
2020,1,16,9,2.8
2020,1,16,10,53.7
2020,1,16,11,19.4
2020,1,16,12,76.4
2020,1,16,13,25.4
2020,1,16,14,29.5
2020,1,16,15,49.1
2020,1,16,16,40.9
2020,1,16,17,5.6
2020,1,16,18,1.7
2020,1,16,19,14.4
2020,1,16,20,1.5
2020,1,16,21,107.2
2020,1,16,22,64.7
2020,1,16,23,51.6
2020,1,17,0,76.8
2020,1,17,1,9.8
2020,1,17,2,5.9
2020,1,17,3,56.0
2020,1,17,4,63.2
2020,1,17,5,12.2
2020,1,17,6,9.2
2020,1,17,7,125.8
2020,1,17,8,86.2
2020,1,17,9,19.4
2020,1,17,10,72.3
2020,1,17,11,104.9
2020,1,17,12,66.5
2020,1,17,13,4.5
2020,1,17,14,48.5
2020,1,17,15,21.1
2020,1,17,16,16.2
2020,1,17,17,86.5
2020,1,17,18,14.2
2020,1,17,19,23.7
2020,1,17,20,120.7
2020,1,17,21,106.6
2020,1,17,22,89.7
2020,1,17,23,34.4
2020,1,18,0,79.0
2020,1,18,1,28.0
2020,1,18,2,41.2
2020,1,18,3,51.3
2020,1,18,4,9.2
2020,1,18,5,81.9
2020,1,18,6,21.0
2020,1,18,7,2.7
2020,1,18,8,15.4
2020,1,18,9,75.7
2020,1,18,10,50.0
2020,1,18,11,59.7
2020,1,18,12,91.6
2020,1,18,13,25.0
2020,1,18,14,34.5
2020,1,18,15,70.0
2020,1,18,16,5.8
2020,1,18,17,83.8
2020,1,18,18,5.7
2020,1,18,19,58.8
2020,1,18,20,15.8
2020,1,18,21,39.3
2020,1,18,22,5.4
2020,1,18,23,73.6
2020,1,19,0,17.8
2020,1,19,1,68.5
2020,1,19,2,23.7
2020,1,19,3,56.6
2020,1,19,4,79.0
2020,1,19,5,89.7
2020,1,19,6,70.0
2020,1,19,7,14.7
2020,1,19,8,7.4
2020,1,19,9,39.7
2020,1,19,10,8.8
2020,1,19,11,13.8
2020,1,19,12,9.8
2020,1,19,13,14.3
2020,1,19,14,9.2
2020,1,19,15,25.8
2020,1,19,16,89.2
2020,1,19,17,68.3
2020,1,19,18,8.8
2020,1,19,19,50.9
2020,1,19,20,20.2
2020,1,19,21,1.4
2020,1,19,22,50.2
2020,1,19,23,45.1
2020,1,20,0,19.8
2020,1,20,1,29.3
2020,1,20,2,38.5
2020,1,20,3,12.0
2020,1,20,4,121.0
2020,1,20,5,13.9
2020,1,20,6,40.5
2020,1,20,7,15.9
2020,1,20,8,16.9
2020,1,20,9,62.4
2020,1,20,10,21.2
2020,1,20,11,75.5
2020,1,20,12,114.2
2020,1,20,13,3.8
2020,1,20,14,69.8
2020,1,20,15,32.4
2020,1,20,16,36.0
2020,1,20,17,10.8
2020,1,20,18,34.6
2020,1,20,19,35.5
2020,1,20,20,32.1
2020,1,20,21,21.9
2020,1,20,22,57.8
2020,1,20,23,40.4
2020,1,21,0,17.2
2020,1,21,1,5.1
2020,1,21,2,43.2
2020,1,21,3,46.8
2020,1,21,4,58.1
2020,1,21,5,17.1
2020,1,21,6,46.9
2020,1,21,7,46.3
2020,1,21,8,4.6
2020,1,21,9,133.0
2020,1,21,10,28.4
2020,1,21,11,5.9
2020,1,21,12,37.5
2020,1,21,13,31.7
2020,1,21,14,83.9
2020,1,21,15,75.8
2020,1,21,16,74.6
2020,1,21,17,19.4
2020,1,21,18,87.7
2020,1,21,19,112.8
2020,1,21,20,62.5
2020,1,21,21,99.2
2020,1,21,22,37.3
2020,1,21,23,38.5
2020,1,22,0,41.3
2020,1,22,1,4.8
2020,1,22,2,8.1
2020,1,22,3,22.1
2020,1,22,4,112.6
2020,1,22,5,31.7
2020,1,22,6,52.9
2020,1,22,7,35.1
2020,1,22,8,66.7
2020,1,22,9,62.6
2020,1,22,10,37.3
2020,1,22,11,29.2
2020,1,22,12,45.0
2020,1,22,13,1.5
2020,1,22,14,105.9
2020,1,22,15,17.8
2020,1,22,16,49.7
2020,1,22,17,10.9
2020,1,22,18,8.6
2020,1,22,19,24.0
2020,1,22,20,33.0
2020,1,22,21,25.8
2020,1,22,22,5.3
2020,1,22,23,32.8
2020,1,23,0,120.7
2020,1,23,1,106.8
2020,1,23,2,33.3
2020,1,23,3,6.7
2020,1,23,4,45.2
2020,1,23,5,47.6
2020,1,23,6,43.7
2020,1,23,7,14.0
2020,1,23,8,110.4
2020,1,23,9,13.7
2020,1,23,10,38.8
2020,1,23,11,59.7
2020,1,23,12,37.8
2020,1,23,13,80.7
2020,1,23,14,27.6
2020,1,23,15,24.5
2020,1,23,16,84.1
2020,1,23,17,3.9
2020,1,23,18,37.3
2020,1,23,19,57.7
2020,1,23,20,101.0
2020,1,23,21,52.9
2020,1,23,22,97.0
2020,1,23,23,12.3
2020,1,24,0,84.9
2020,1,24,1,44.1
2020,1,24,2,20.2
2020,1,24,3,4.5
2020,1,24,4,80.1
2020,1,24,5,46.4
2020,1,24,6,17.8
2020,1,24,7,9.8
2020,1,24,8,40.7
2020,1,24,9,30.5
2020,1,24,10,22.2
2020,1,24,11,30.7
2020,1,24,12,1.1
2020,1,24,13,5.3
2020,1,24,14,44.8
2020,1,24,15,17.5
2020,1,24,16,28.2
2020,1,24,17,13.0
2020,1,24,18,80.1
2020,1,24,19,63.7
2020,1,24,20,69.3
2020,1,24,21,23.0
2020,1,24,22,7.6
2020,1,24,23,61.0
2020,1,25,0,1.5
2020,1,25,1,0.3
2020,1,25,2,33.5
2020,1,25,3,17.4
2020,1,25,4,11.1
2020,1,25,5,23.9
2020,1,25,6,87.4
2020,1,25,7,26.4
2020,1,25,8,0.3
2020,1,25,9,20.0
2020,1,25,10,31.9
2020,1,25,11,106.9
2020,1,25,12,109.3
2020,1,25,13,18.4
2020,1,25,14,6.0
2020,1,25,15,18.5
2020,1,25,16,2.5
2020,1,25,17,1.8
2020,1,25,18,23.9
2020,1,25,19,52.7
2020,1,25,20,19.8
2020,1,25,21,3.6
2020,1,25,22,13.7
2020,1,25,23,56.4
2020,1,26,0,68.5
2020,1,26,1,59.6
2020,1,26,2,64.7
2020,1,26,3,22.5
2020,1,26,4,5.9
2020,1,26,5,3.5
2020,1,26,6,11.8
2020,1,26,7,9.3
2020,1,26,8,82.7
2020,1,26,9,11.3
2020,1,26,10,19.8
2020,1,26,11,33.6
2020,1,26,12,10.0
2020,1,26,13,131.3
2020,1,26,14,88.8
2020,1,26,15,127.8
2020,1,26,16,5.4
2020,1,26,17,80.8
2020,1,26,18,25.6
2020,1,26,19,41.9
2020,1,26,20,8.3
2020,1,26,21,31.6
2020,1,26,22,36.3
2020,1,26,23,52.6
2020,1,27,0,63.8
2020,1,27,1,80.5
2020,1,27,2,3.1
2020,1,27,3,21.8
2020,1,27,4,37.5
2020,1,27,5,107.0
2020,1,27,6,22.0
2020,1,27,7,68.7
2020,1,27,8,24.4
2020,1,27,9,13.4
2020,1,27,10,13.1
2020,1,27,11,27.8
2020,1,27,12,37.2
2020,1,27,13,54.1
2020,1,27,14,31.0
2020,1,27,15,42.0
2020,1,27,16,36.1
2020,1,27,17,68.3
2020,1,27,18,47.7
2020,1,27,19,17.9
2020,1,27,20,45.4
2020,1,27,21,64.4
2020,1,27,22,16.4
2020,1,27,23,39.2
2020,1,28,0,31.3
2020,1,28,1,66.1
2020,1,28,2,28.2
2020,1,28,3,61.3
2020,1,28,4,58.7
2020,1,28,5,31.1
2020,1,28,6,8.9
2020,1,28,7,46.1
2020,1,28,8,1.6
2020,1,28,9,4.7
2020,1,28,10,8.9
2020,1,28,11,30.2
2020,1,28,12,58.4
2020,1,28,13,116.4
2020,1,28,14,61.7
2020,1,28,15,52.1
2020,1,28,16,13.3
2020,1,28,17,2.6
2020,1,28,18,3.6
2020,1,28,19,7.5
2020,1,28,20,6.6
2020,1,28,21,67.9
2020,1,28,22,25.5
2020,1,28,23,31.6
2020,1,29,0,26.5
2020,1,29,1,32.1
2020,1,29,2,26.4
2020,1,29,3,5.2
2020,1,29,4,16.3
2020,1,29,5,57.8
2020,1,29,6,15.4
2020,1,29,7,64.9
2020,1,29,8,9.3
2020,1,29,9,47.9
2020,1,29,10,18.2
2020,1,29,11,51.8
2020,1,29,12,25.3
2020,1,29,13,17.0
2020,1,29,14,24.9
2020,1,29,15,5.0
2020,1,29,16,28.5
2020,1,29,17,32.9
2020,1,29,18,108.6
2020,1,29,19,136.0
2020,1,29,20,11.0
2020,1,29,21,116.6
2020,1,29,22,12.3
2020,1,29,23,61.3
2020,1,30,0,6.6
2020,1,30,1,53.6
2020,1,30,2,54.0
2020,1,30,3,1.7
2020,1,30,4,5.1
2020,1,30,5,8.3
2020,1,30,6,73.1
2020,1,30,7,10.8
2020,1,30,8,84.1
2020,1,30,9,72.6
2020,1,30,10,86.6
2020,1,30,11,20.6
2020,1,30,12,5.2
2020,1,30,13,27.3
2020,1,30,14,33.7
2020,1,30,15,20.0
2020,1,30,16,135.3
2020,1,30,17,8.1
2020,1,30,18,33.0
2020,1,30,19,26.6
2020,1,30,20,60.1
2020,1,30,21,72.6
2020,1,30,22,7.9
2020,1,30,23,121.5
2020,1,31,0,26.4
2020,1,31,1,6.2
2020,1,31,2,24.2
2020,1,31,3,22.1
2020,1,31,4,16.8
2020,1,31,5,18.7
2020,1,31,6,10.0
2020,1,31,7,12.7
2020,1,31,8,22.9
2020,1,31,9,126.3
2020,1,31,10,53.5
2020,1,31,11,31.7
2020,1,31,12,0.8
2020,1,31,13,40.7
2020,1,31,14,5.4
2020,1,31,15,66.8
2020,1,31,16,66.2
2020,1,31,17,39.5
2020,1,31,18,124.3
2020,1,31,19,41.8
2020,1,31,20,10.6
2020,1,31,21,37.6
2020,1,31,22,9.0
2020,1,31,23,92.8
2020,2,1,0,8.9
2020,2,1,1,48.6
2020,2,1,2,0.1
2020,2,1,3,51.9
2020,2,1,4,25.3
2020,2,1,5,16.9
2020,2,1,6,44.3
2020,2,1,7,21.2
2020,2,1,8,12.9
2020,2,1,9,57.0
2020,2,1,10,132.1
2020,2,1,11,56.3
2020,2,1,12,23.6
2020,2,1,13,33.1
2020,2,1,14,7.2
2020,2,1,15,4.1
2020,2,1,16,3.4
2020,2,1,17,67.8
2020,2,1,18,96.1
2020,2,1,19,29.9
2020,2,1,20,5.7
2020,2,1,21,14.5
2020,2,1,22,42.4
2020,2,1,23,28.6
2020,2,2,0,123.0
2020,2,2,1,27.7
2020,2,2,2,13.0
2020,2,2,3,13.7
2020,2,2,4,66.0
2020,2,2,5,56.7
2020,2,2,6,46.3
2020,2,2,7,27.8
2020,2,2,8,62.9
2020,2,2,9,49.3
2020,2,2,10,2.9
2020,2,2,11,35.5
2020,2,2,12,8.7
2020,2,2,13,37.0
2020,2,2,14,25.4
2020,2,2,15,24.8
2020,2,2,16,29.2
2020,2,2,17,25.3
2020,2,2,18,23.1
2020,2,2,19,13.3
2020,2,2,20,13.5
2020,2,2,21,22.3
2020,2,2,22,11.5
2020,2,2,23,104.1
2020,2,3,0,28.6
2020,2,3,1,49.6
2020,2,3,2,4.6
2020,2,3,3,22.8
2020,2,3,4,90.0
2020,2,3,5,37.6
2020,2,3,6,90.9
2020,2,3,7,54.7
2020,2,3,8,19.0
2020,2,3,9,3.6
2020,2,3,10,6.2
2020,2,3,11,99.7
2020,2,3,12,58.6
2020,2,3,13,24.7
2020,2,3,14,15.0
2020,2,3,15,87.2
2020,2,3,16,16.5
2020,2,3,17,65.8
2020,2,3,18,85.0
2020,2,3,19,19.2
2020,2,3,20,66.2
2020,2,3,21,101.1
2020,2,3,22,0.9
2020,2,3,23,24.2
2020,2,4,0,33.1
2020,2,4,1,36.9
2020,2,4,2,22.8
2020,2,4,3,10.2
2020,2,4,4,51.9
2020,2,4,5,11.0
2020,2,4,6,34.6
2020,2,4,7,60.7
2020,2,4,8,38.6
2020,2,4,9,7.9
2020,2,4,10,90.1
2020,2,4,11,6.5
2020,2,4,12,24.7
2020,2,4,13,33.4
2020,2,4,14,39.4
2020,2,4,15,46.8
2020,2,4,16,38.8
2020,2,4,17,48.7
2020,2,4,18,15.3
2020,2,4,19,0.7
2020,2,4,20,83.7
2020,2,4,21,1.7
2020,2,4,22,52.6
2020,2,4,23,52.8
2020,2,5,0,32.4
2020,2,5,1,56.0
2020,2,5,2,26.9
2020,2,5,3,5.6
2020,2,5,4,38.2
2020,2,5,5,47.1
2020,2,5,6,7.8
2020,2,5,7,19.5
2020,2,5,8,51.5
2020,2,5,9,22.9
2020,2,5,10,16.0
2020,2,5,11,97.9
2020,2,5,12,91.9
2020,2,5,13,7.8
2020,2,5,14,53.4
2020,2,5,15,80.7
2020,2,5,16,9.8
2020,2,5,17,21.3
2020,2,5,18,4.6
2020,2,5,19,2.7
2020,2,5,20,14.0
2020,2,5,21,2.8
2020,2,5,22,43.3
2020,2,5,23,8.9
2020,2,6,0,95.2
2020,2,6,1,37.7
2020,2,6,2,17.2
2020,2,6,3,30.1
2020,2,6,4,37.0
2020,2,6,5,58.6
2020,2,6,6,6.0
2020,2,6,7,96.4
2020,2,6,8,65.2
2020,2,6,9,79.6
2020,2,6,10,11.2
2020,2,6,11,29.4
2020,2,6,12,101.0
2020,2,6,13,42.3
2020,2,6,14,13.2
2020,2,6,15,6.7
2020,2,6,16,19.3
2020,2,6,17,6.6
2020,2,6,18,10.0
2020,2,6,19,27.9
2020,2,6,20,10.9
2020,2,6,21,22.3
2020,2,6,22,55.2
2020,2,6,23,67.6
2020,2,7,0,33.6
2020,2,7,1,30.5
2020,2,7,2,83.8
2020,2,7,3,38.0
2020,2,7,4,72.6
2020,2,7,5,65.0
2020,2,7,6,9.8
2020,2,7,7,4.3
2020,2,7,8,4.8
2020,2,7,9,49.5
2020,2,7,10,22.0
2020,2,7,11,85.5
2020,2,7,12,23.5
2020,2,7,13,40.4
2020,2,7,14,80.7
2020,2,7,15,10.0
2020,2,7,16,20.5
2020,2,7,17,117.5
2020,2,7,18,111.4
2020,2,7,19,76.1
2020,2,7,20,45.3
2020,2,7,21,32.9
2020,2,7,22,3.4
2020,2,7,23,8.6
2020,2,8,0,16.8
2020,2,8,1,67.4
2020,2,8,2,75.3
2020,2,8,3,20.1
2020,2,8,4,87.0
2020,2,8,5,5.5
2020,2,8,6,12.4
2020,2,8,7,79.9
2020,2,8,8,73.6
2020,2,8,9,65.8
2020,2,8,10,1.3
2020,2,8,11,5.8
2020,2,8,12,41.8
2020,2,8,13,103.7
2020,2,8,14,14.8
2020,2,8,15,87.8
2020,2,8,16,27.0
2020,2,8,17,46.6
2020,2,8,18,77.8
2020,2,8,19,63.3
2020,2,8,20,7.5
2020,2,8,21,25.3
2020,2,8,22,26.7
2020,2,8,23,18.6
2020,2,9,0,46.6
2020,2,9,1,30.6
2020,2,9,2,1.0
2020,2,9,3,41.9
2020,2,9,4,105.6
2020,2,9,5,35.6
2020,2,9,6,37.0
2020,2,9,7,34.8
2020,2,9,8,7.3
2020,2,9,9,11.7
2020,2,9,10,62.6
2020,2,9,11,27.6
2020,2,9,12,61.2
2020,2,9,13,10.7
2020,2,9,14,15.0
2020,2,9,15,5.0
2020,2,9,16,29.0
2020,2,9,17,5.9
2020,2,9,18,50.3
2020,2,9,19,15.7
2020,2,9,20,54.6
2020,2,9,21,117.9
2020,2,9,22,49.7
2020,2,9,23,127.8
2020,2,10,0,15.0
2020,2,10,1,24.3
2020,2,10,2,29.6
2020,2,10,3,50.9
2020,2,10,4,26.4
2020,2,10,5,30.7
2020,2,10,6,8.0
2020,2,10,7,90.3
2020,2,10,8,16.5
2020,2,10,9,12.5
2020,2,10,10,71.5
2020,2,10,11,58.4
2020,2,10,12,9.4
2020,2,10,13,4.5
2020,2,10,14,14.5
2020,2,10,15,33.2
2020,2,10,16,1.0
2020,2,10,17,55.8
2020,2,10,18,6.9
2020,2,10,19,2.2
2020,2,10,20,115.8
2020,2,10,21,47.3
2020,2,10,22,47.5
2020,2,10,23,39.4
2020,2,11,0,88.1
2020,2,11,1,38.3
2020,2,11,2,15.4
2020,2,11,3,73.3
2020,2,11,4,64.0
2020,2,11,5,50.0
2020,2,11,6,14.8
2020,2,11,7,100.6
2020,2,11,8,59.4
2020,2,11,9,35.8
2020,2,11,10,59.9
2020,2,11,11,7.3
2020,2,11,12,92.7
2020,2,11,13,27.5
2020,2,11,14,28.8
2020,2,11,15,42.0
2020,2,11,16,103.1
2020,2,11,17,101.0
2020,2,11,18,108.0
2020,2,11,19,98.1
2020,2,11,20,82.2
2020,2,11,21,128.6
2020,2,11,22,5.6
2020,2,11,23,7.6
2020,2,12,0,36.9
2020,2,12,1,10.1
2020,2,12,2,21.8
2020,2,12,3,15.4
2020,2,12,4,134.5
2020,2,12,5,37.1
2020,2,12,6,81.1
2020,2,12,7,37.9
2020,2,12,8,48.2
2020,2,12,9,65.0
2020,2,12,10,14.2
2020,2,12,11,15.5
2020,2,12,12,23.5
2020,2,12,13,46.6
2020,2,12,14,41.3
2020,2,12,15,23.6
2020,2,12,16,111.0
2020,2,12,17,87.7
2020,2,12,18,16.0
2020,2,12,19,5.5
2020,2,12,20,33.4
2020,2,12,21,19.7
2020,2,12,22,11.3
2020,2,12,23,98.5
2020,2,13,0,34.3
2020,2,13,1,67.0
2020,2,13,2,80.6
2020,2,13,3,35.8
2020,2,13,4,15.5
2020,2,13,5,90.6
2020,2,13,6,31.5
2020,2,13,7,115.0
2020,2,13,8,79.4
2020,2,13,9,73.6
2020,2,13,10,1.5
2020,2,13,11,43.4
2020,2,13,12,2.6
2020,2,13,13,44.4
2020,2,13,14,71.6
2020,2,13,15,37.6
2020,2,13,16,92.9
2020,2,13,17,4.7
2020,2,13,18,65.2
2020,2,13,19,48.0
2020,2,13,20,13.6
2020,2,13,21,37.4
2020,2,13,22,6.9
2020,2,13,23,40.9
2020,2,14,0,41.9
2020,2,14,1,67.2
2020,2,14,2,75.8
2020,2,14,3,30.7
2020,2,14,4,6.6
2020,2,14,5,20.6
2020,2,14,6,44.9
2020,2,14,7,20.3
2020,2,14,8,34.1
2020,2,14,9,27.4
2020,2,14,10,50.6
2020,2,14,11,30.3
2020,2,14,12,32.5
2020,2,14,13,85.6
2020,2,14,14,40.7
2020,2,14,15,65.6
2020,2,14,16,47.8
2020,2,14,17,22.8
